tweet_id,message
2192460,@115821 You guys are a bunch of fuckin' scum bags charging people for one day shipping then casually saying things will ship 3 days later.
2447102,"@AmazonHelp Thanks! I've sent an email that will hopefully get the stuff cleared up. I'm thinking it may be with the purchases trying to be charged but my spending limit it low so it might be declined and then just recharged or something. No worries, though, hope it's simple haha!"
2279397,@117086 Mind Hunter  de David Fincher
513463,@115830 A kindle was supposedly attempted to be delivered by Hermes today but there is no way to contact them to ask where my package is. What the hell?
339684,@AmazonHelp USPS and inconveniences like this have happened multiple times over the last couple months.
611172,Se le persone fossero oneste come la puntualità di @120540 nelle consegne....allora si che sarebbe un mondo migliore!!! #pensierodelgiorno #22novembre #moodoftheday
1513308,@115850 - I have been facing problem login in since more than a month. Your CS team don't respond ! Shame :(
1283865,"@116928 Hola, tengo un problema con un pedido, ¿a quién podría dirigirme para aclararlo?"
255740,Frikkin FINALLY @118617 although. @115821 could have used less packaging but I digress https://t.co/BFbRAMBDE7
859668,"@AmazonHelp Did. Got the same response. ""Sorry for the inconvenience"""
308918,@117795 now they called the logistics the driver is going to re-attempt to deliver.  THEY NEVER ATTEMPTED. 🤦🏾‍♀️
1016789,@AmazonHelp Your sharing concern doesnt make my diwali 😐 #pathetic
218961,@AmazonHelp No use. They are clueless. This shows clearly that you don’t have control on your delivery and your seller.
2273268,@115850 pls don't send product through indianpost bcoz this people r still in attitude of pawar saheb k pass jaao bhoir k pass fir Patil k pass final answer of Patil Sheba 4 baje k phele aao. Even after going for self collect they respond in this way
897129,Por suerte @116928 te lo pone fácil pars devolver. 👍
2129014,@AmazonHelp how late on in the evening can i expect a delivery. Paid for next day delivery...nothing here yet???
1673727,@AmazonHelp Thanks. Definitely look forward to using skills and have an AI powered living /media center
2465340,@AmazonHelp I was supposed to receive a package today because I have prime and I’m getting a notification that usps couldn’t deliver today because they couldn’t access the front door. I live in a regular neighborhood with no gates. What gives?
1678266,"@AmazonHelp Lorsque j'achète un objet sur Amazon jespere le recevoir en état. Et voilà dans quel ""état"" il est arrivé... https://t.co/fnBsi8GawB"
2329608,@AmazonHelp Also promised a refund for missing order but no email confirmation yet
2513155,@AmazonHelp This is the issue. You are saying it wasn't the company is saying you have the stock so you can only send put a replacement
1741679,"@AmazonHelp Esta vez fue una bomba portátil para bicicleta, pero he comprado muchas cosas con n mi Amazon prime 🤗🤗"
1615579,@AmazonHelp It's more than 12 hrs nd u hv not resolved my issue! You all are frauds and criminals! Why are not returning my money?
910293,知らない内にAmazonのプライム会員になってた
2687690,@115821 #hermes Absolute joke. https://t.co/zdrxe7A5V3
438859,"@AmazonHelp Useless, Brainless, Emotionless person employed in Amazon. @115821  @115850 @AmazonHelp @123644 @4030  @118702  @4167 @4110 @4168 @115937"
2497118,Thank you @119625 .. That's what I can say for the entertainment that you're giving..👍👍
1688874,@AmazonHelp Can you look back on my tweets as I went over all of this last night. Had someone email this morning from your twitter team to say it’s resolved... it’s not!
1490157,@115821 its ok if you give us less discount. Spend some in hiring quality customer support executives. Feeling cheated!!
2540389,"@115830 where’s my stuff?
No reply from seller."
890727,@AmazonHelp not what I expected when I got an email to say my delivery arrived. didn’t even ask it to be left under mat. I live in London https://t.co/F8eZlzEu4I
2780578,@AmazonHelp Cualquiera que me dejé algún aprendizaje o que me desconecte de la realidad por un tiempo. https://t.co/7r5uzM5FCO
1393948,@119356 really pathetic service. facing same issue from last 5-6 times. no improvement. @115821 https://t.co/MHHTzxXryg
342979,"@AmazonHelp They are getting it at the pre-order price, and pre-ordered it. Though they don't directly state if it was sold by amazon, none of the other sellers offered a pre-order to my knowledge."
601276,I’m still mad that amazon didn’t get my order to me in two days when i pay for prime
2663165,"@120540 come mai ho ordinato un libro il 6 novembre, che sarebbe dovto arrivare il 16 novembre ma non mi è ancora arrivato? Se vado negli ordini in corso dice : spedito... ma ho paura che il pacco non arrivi più."
1572847,"@AmazonHelp 了解です。
拡散しておいたほうがいいんじゃないですか？"
2418363,"Hey, @115821... Your delivery drivers are super classy: https://t.co/nlsVYrqwSL

😡

This is unacceptable. @AmazonHelp"
917548,@AmazonHelp very ridiculous service and doing nothing
234134,"Picked up an @115830 delivery with an item missing in the box. This is... new. 

I don't even know how to notify them of that."
1973336,@AmazonHelp I emailed to your customer service and they said I will only pay the previous price but my account price is not updated yet please update it
930242,"@AmazonHelp Thanks, I'll get on with that. Will leave feedback on delivery also."
1650786,"@AmazonHelp Once gain Gati not ready to deliver the products,but still you guys wanted to assign the products to Gati #NoGati #Patheticserivce"
2688096,@115830 Why are so many sellers on Amazon not shipping to Northern Ireland? Seems to have gotten a lot more prevalent of late. https://t.co/9kPxvgdk90
2685347,"So my package from Amazon is coming from NJ... And it's now in East Petersburg, PA... but it's delayed because... https://t.co/1ADaXJ6l8h"
830801,"@115851 sir no support from @115850 in tracing an item which was due to deliver by 25th sep, plz help"
1028956,"@AmazonHelp my refund didn't come in my bank account, order dated 6.10.17,order no-408-8380090-5429104 .USB cable for ph."
977795,@AmazonHelp how and where I can provide feedback for a cancelled order?
297920,"@AmazonHelp your amazon agent said wait till 13oct What is happening @AmazonHelp @115850 after 13oct you will say""Sir we will update you after Diwali"
222670,@AmazonHelp I get cash back if i did 90%of my payment through Amazon pay @115850
525581,"@115850, would hve been convenient if u could tell the value of Amazon Pantry box instead of just the no. of items. Would hve helped to check if amt is above that 599 limit, especially when the total order also has non pantry items."
1588093,"@AmazonHelp ただ単にパスワードを忘れた事に気づくまでに何度も画像認証したので嫌になりました。
パスワード違うなら早く言ってよと思いました。"
1064873,@115821 when delivery guys come i ask hm pos mtchn but don't have the same he told me evening 6 pm I will come and I got msg from you order cancled
2290672,"@115850 Is it legal to sell a product on your platform without mentioning MRP?? 
@2156"
18694,"@115850 am not seeing any update on my order since Sunday , kindly advice if it's still on time ? https://t.co/RTqSMhgGeR"
75854,@AmazonHelp Thanks for ur help but solve my problem
2154010,@AmazonHelp Yes. I have shared the details.
1591116,"@AmazonHelp wtf amazon, 2nd time youve done this to me. I would have gone to the store for this stuff! ordered same day cuz i needed it! https://t.co/VGbtq9tSuD"
2515835,"@AmazonHelp can someone at Amazon actually be helpful and tell me why my order is not delivered today? 112-7009063-7634613 - two cheers to 70. Check the tracking number, UPS says it was never picked up. Why?"
1490312,E chegou a caixa que a Chanel encomendou na Black Friday dela 😂 @117086 https://t.co/u4Io7iC9L9
377770,@117093 do I need to return any packaging from my delivery if I got paper bags instead of totes? Thanks!
540892,"Went to a @123967 @118706 location and had to go through @115821 just to get a hold of an actual person on the phone and guess what, no one can help me. At all. Where my packages are and if they’ll show up, no idea. No one knows. I’m. Beyond. Pissed."
2417866,"@AmazonHelp これはこれは御丁寧にありがとうございます🙏
参考にさせて頂きます"
576025,@AmazonHelp That is who I have been talking to all morning and they have been useless. Is there nothing that can be done to get this escalated?
344370,"@AmazonHelp Carrier AMZL US
Tracking #TBA476322998000"
1655685,"@AmazonHelp That issue is resolved,but I still have the issue regarding writing a review.I have an email sent regarding the same."
1729656,"@120533 voila quelque jour que mon compte a était verrouillé pour des raisons de ""sécurité"" j'attends toujours le sms pour le débloquer."
1771678,"@AmazonHelp @120533 Bonjour, ça fait 2 fois que je commande le même colis et deux fois qu'il n'arrive jamais.Y'a moyen de faire quelque chose? :]"
577793,"Es wird immer besser: @AmazonHelp bittet den eigenen  Transportdienstleister Amazon Logistics die Sendung zurückzuschicken, die ich am 30.11. hätte erhalten sollen. Dazu kann der Lieferant also angewiesen werden, eine Zustellung kann aber nicht veranlasst werden. Absurd. https://t.co/uBrtfd3BQh"
853914,@115830 getting told my package is out for delivery 11:48 almost 2:20 still no sign of it!
236692,@115850 payment sucks. Shopped 4 3K #amazon charged card 6.5K then cancelled order as failed payment @3021 say #amazon claimed amt
1770466,"@AmazonHelp La compra se concreto el mes pasado, y me aparece en Hacienda, el detalle es que nunca recibi la factura y no se como descargarla desde su portal"
683005,@AmazonHelp Je sais plus c'est quoi le mail du SAV....
1780110,"@242975 Hi Amazon  my package is over due, give it to that guy, had my $$ same day I ordered, two months ago assholes @115821"
229739,"Bonjour @AmazonHelp j'ai un colis noté sur votre site comme livré depuis le 25 septembre, sauf... que je n'ai rien reçu."
1786126,@AmazonHelp No reply received from your side. I m just fed up with the service. Pls take it back. I have wasted my money. Fradulent service.
2281456,"@115850 hi team connect to customer care is not working through Amazon app, could you please arrange a call back?"
1562358,@AmazonHelp @115821 @115850 @115821 what is this? I order to men shoes but amazon send to female shoes why? I thing u r a cheater seller. https://t.co/q6ueSJNooW
2814517,2 @115821 orders in a row weren’t delivered on time. Starting to wonder why I pay for 2 day shipping when they are constantly being delayed/delivered late
970257,@115821 why am I being charged for an amazon prime account I don’t own?!?! https://t.co/0ddQkLAsN0
1753341,Nice one @115830 this interesting cardboard gear you left meshed perfectly with the gate bars spinning round and around. https://t.co/3Q6REgNdlO
2938631,"@AmazonHelp will amazon video be included in the amazon student prime price, or will I be charged? Many thanks, Fabio. (2/2)"
535677,"Pathetic packaging. What's the point of gift covering if it's torn so badly? Disappointed. 
@115850 https://t.co/Cfc99Cc1De"
93612,@115850 Kindly support direct cast option on Prime Video ! I am unable to cast #PrimeVideos on @5525 without lag  😐
2850801,e hoje um pedido meu na @117086 foi cancelado pqp
785108,@AmazonHelp How long will it take to credit refunded amount back to my bank account.Made payment by Debit Card.Refund was successful 10 oct.
777833,"@115850 Dear team My product is nt delivered yet, as per amzon it was to being delever on 10-Oct-17
Order ID: __email__"
845705,so my parcel from @115821 says it’s been delivered to me for the last hour now n it’s still not here:(
1633259,@AmazonHelp Happened to about 3 different parcels over the last month 😤😡😫
2875586,@AmazonHelp I hope you get back soon not like your othee executives which are taking ages.
2184494,"How do you swap back from the ""buy in one click"" option to the normal checkout method?! Really don't like it! @115821"
401565,@AmazonHelp @115850 sucks never shopping from Amazon 30 days passed after booking the product still asking me to wait for 2 weeks....
2823954,@786820 @115830 @AmazonHelp Was looking for something yesterday we need for a move on Wednesday. It wouldn't be delivered until Wednesday on prime. Still said one day delivery.
418811,@AmazonHelp Call me at 9560071223 I have been calling u from last 10 days. u are giving different excuses
236638,Delayed Delivery even though when the product was to arrive yesterday #amazonstrikesback #Amazon @AmazonHelp @115850
709450,Hey @115850 is it compulsory to tweet after participating in any oh the quizzes held on the app??? How are the winners announced??
284800,It's a bit unfair when Echo purchase on Amazon India does not entitle to extending your existing Amazon Prime membership by one more year.
382353,"@115830 Customer service just hung up on me. Fax number doesn't work. Your ""address verification"" process is a nightmare! It's 2017 guys!"
926338,@115850 recived faulty Nokia6😭 replacement dis z d reply Confirmed: Order for Nokia 6 is successfully placed &amp; will reach you by 28-Nov😂
2345572,Hey @AmazonHelp can we talk about how my one day prime delivery service is taking 3 days to be delivered?
1783424,@AmazonHelp USPS tracking # 934198__credit_card__
2383350,"@AmazonHelp What do you mean by revised delivery date? If order is not delivered today, pls go and cancel it and free me from the misery. Thank you."
1152588,@AmazonHelp I filled and submitd the form
2111071,So @115821 has been failing on their 2 day shipping. We're currently on Day 4 of 2 day shipping. Please go back to UPS.
1251715,"@AmazonHelp A person called me and said अभी नही आऊंगा, यहाँ ले के आ जा। I said I cannot come and waiting for u,the reply was जो करना है कर ले। https://t.co/bRjfrxPQLP"
665560,@AmazonHelp Hola. Llevo desde el 24 de octubre esperando a que Amazon Esp tramite un pedido que hoy tendría que estar aquí. ¿Es eso normal?
2318201,@116928 cuando volvereis a tener en stock el box 1 de dragon ball super en blu ray? Ha durado menos que un caramelo en la puerta del colegio 😓
637070,@AmazonHelp Erm compre en amazon el reclamo lo meti en amazon
1712054,"Honestly, fuck you @AmazonHelp . You guys just keep fucking up deliveries like it's your job."
2885756,"Olá @AmazonHelp só vim pedir para trazer Doctor Who pro seu serviço de streaming no Brasil!
Obrigado kkk"
1760492,Amazon customer Service is awful! $ a defective paper shredder - threw out box- can’t get help - no humans to speak to. @AmazonHelp @115821
2902661,@115830 day 3 of ‘attempted’ delivery to a business address (which should be there by 5pm) the following pictures say it all. Rerouted this morning when less than 5 minutes from address!! #fail https://t.co/66aARynIsA
1001004,@AmazonHelp Done. Please request for help.
1725792,@AmazonHelp Done. Please do the needful ASAP
909881,@AmazonHelp @115850  I paid extra for delivery by 1100. It's already 1120. What's the point of overpromising and not delivering ?? https://t.co/4FzfLJOaPF
927578,@AmazonHelp unable to return the product please help. Contact Jo 8800940900
234749,"@AmazonHelp I received an email alerting me to the changing of my accounts registered email address. I have tried to log in with my real email, no luck!"
2956929,Black Friday rendeu 💕📑 @117086 https://t.co/dCh5c94c1a
95412,@115821 has the worst customer service
987368,@AmazonHelp I don't see any reason. Pls point that out
2300802,Amazon are playing with me again. Where's my shit?! 🙄
1399870,@115821 @AmazonHelp @118797 I want my content ya trolls from Okoye to Taylor all Collectibles or I'm goin on Judge Mathis
2373346,"@AmazonHelp Your same day delivery people are trash. If you can’t get into an apartment complex to deliver, maybe specify that ahead of time. I can’t just be sitting by the phone to let someone in all fucking day."
245926,"@AmazonHelp Ok. I did try desktop,  didn't do it there."
485271,@115833 continues to fail to deliver product. 5 missed deliveries in one week. Will they go for 7? We will see...#EpicFail @115821
407064,@AmazonHelp Non pas encore je vais le faire je n'y est pas pensé
2130956,"@AmazonHelp I'm mentally exhausted with Amazon shopping I'm giving up, I'll cut my loss and learn from my experience."
2783140,@AmazonHelp Is there anyway of checking as I've waited in all day after booking a day of work
1433923,"Basically my iMac won’t connect to https://t.co/QDkUsmUz1m, which is annoying because I can’t download my audible books or watch prime video"
1714239,@AmazonHelp please could I confirm your return policy for the below please? Just found an unexpected item in my parcel... 🐈 https://t.co/0AKwzBYFTF
2318405,@AmazonHelp Will it effect ?? I don’t think so..
347792,Sind Probleme mit der App von @115825 für #LG Smart TVs bekannt?
2929530,was so excited to read @4888 #Darker tonight but @115821 sent me a copy with pages cut off so i can’t read 1/4 of the pages😭😭😭
2205192,@AmazonHelp No pero en la página de Amazon viene esa fecha estimada. Y en la del transportista (USPS) indica que realizaron un intento de entrega el 1 de noviembre pero también dice que está en tránsito (???)
2973884,Ordered a Corsair gaming keyboard off @115821 and they shipped me a LEGO Minecraft set https://t.co/1yOHRH7uKB
612760,"Ordered the new OnePlus 5T from Amazon with guaranteed next day delivery. Received this because Amazon has grown ears and think they an take their customers for a swing..! Order No. 404-9862234-9542766
@115821 @132994 @139570 @AmazonHelp  @115850 @118919 https://t.co/gPr662o3UR"
2296653,@AmazonHelp わあーありがとうございます！！後ほど確認いたします。ご親切にありがとうございます！(*&gt;ω&lt;*)ﾉｼ
2317549,"@115833 hi, my sonos alexa will not let me set a timer. It says “sorry im having trouble” when I ask; any idea why?"
2816360,@115850 @115833 what happened to my feedback or complaint. https://t.co/XtkVxMx5nb
2777320,@115830 Difficult to say as they are Xmas presents and will now have to open put batteries etc into prior to testing. Not happy is an understatement!
2610728,@AmazonHelp All the details are shared and email sent to __email__ and copied consumer forum.
2761684,"man i just realised my amazon prime free trial JUST ended and it hit my bank account like a brick

right after pay day too mayne :("
527143,Amazonでポチポチしてたらいつの間にかプライム無料体験始まってた
1723306,ネットで買い物したことなくて、初めてAmazonでこれ欲しい！買おう！ってなったけど支払い方法なんかよくわかんないね後払いなの？？
1059574,@AmazonHelp 'Letterbox' is the one you have. Perhaps he mistook my letterbox for an epically small garage :-)
2946819,When you realized something you ordered off @115821 Prime is going to take more than 2 days https://t.co/c9y6IoMrqb
633663,@AmazonHelp I need an option  to give you an Irish phone number please
758961,"@AmazonHelp Well, I am amazed by your team's swift response and quick solution. 😊"
438755,@116875 como dato cultural... si me quieren entregar un pedido a las 11pm no voy a abrir 🤷‍♀️🤷‍♀️🤷‍♀️
1910324,@AmazonHelp ありがとうございます！毎日このページ見てるのですがなかなかスタジオアシスタントの仕事が出てこなくて😥
126819,I clicked on an ice maker in the deals page of amazon ONE TIME and now @115821 keeps trying to sell me them.  I have a student prime account &amp; they think I can drop hundreds on ice https://t.co/qi8CGAqf07
2609349,"@115821 this is a joke, right?? https://t.co/X47qgjkapR"
164798,"@AmazonHelp @4496 A ver,llevo toda la tarde en casa,aquí no ha llamado nadie al timbre.Incluso si el portero de la urbanización lo hubiese recogido,me habría avisado como hace siempre.Correos es muy gallón en las entregas,Amazon debería revisar eso."
833645,"@AmazonHelp There is also no option to request a refund on items, only to return them. We can’t return items we didn’t receive."
