tweet_id,message,real_reply,language,cluster_id,sampled_by,intent,expected_action,note
734683,¡¡¡¡Por fin lo tengo!!! ¡Deseando leerlo! 😍😍😍😍 @42180  @115821 https://t.co/ec2bYVI7Hw,"@295778 ¡Que disfrutes la lectura, Miriam! 💕 ^VL",es,11,cluster_floor,other,escalate,
693891,"I ordered it through @115830 the day you announced the release date and they don't wanna send it me yet 😭😭

https://t.co/F9R4Yn51uB",@147319 Hi there! Please let us know if it doesn't arrive by the delivery date we provided via checkout/e-mail. We're here to help out in any way we can! ^WJ,en,18,cluster_floor,order_status,escalate,
347936,@AmazonHelp OID: 171-9246106-3237115. Tracking ID: 921144933491. Just see CC History and ask your station Manager to go fuck himself.,@198857 Twitter is a social media platform we'll not be able to access any of your account/order details. Kindly provide 1/3 ^SH,en,1,cluster_floor,delivery_courier_issue,escalate,
2447448,"Amazon dropped the ball on this one, now I won't be getting Oathbringer until Thursday",@701574 I'm sorry for the wait! Did we miss the delivery date in the confirmation e-mail? You can check here: https://t.co/1irJTMd81q ^BH,en,20,cluster_floor,delivery_late,escalate,
2017527,"@AmazonHelp Ich hoffe ihr könnt mir dazu etwas sagen.
Warum oder weshalb die Verzögerung da ist.
Ich warte hier so lange.",@596655 Melde dich dazu über: https://t.co/ohyvGrpvrY Denn über Twitter haben wir keinen Zugriff auf deine Bestellung. Viele Grüße ^TR,de,9,language_floor,other,escalate,
2887941,"Screw you, @115821 @AmazonHelp  when someone pays expediting shopping for something, due in a holiday, you should deliver it THEN.","@421910 This isn't the experience we want you to have! Just to confirm, did we miss the delivery date in the confirmation e-mail? ^LA",en,0,cluster_floor,delivery_late,escalate,
1210658,"@AmazonHelp en ese enlace NO HAY TARIFAS de cancelación, donde dice que por usar 2veces https://t.co/V8QwjOx5WY cueste 5€, NO LO VEO. @115821","@404176 Lamento lo sucedido, por favor contacta nuestro Soporte al Cliente mediante este enlace: https://t.co/OjvUxwnzPe ^AZ",es,2,language_floor,other,escalate,
527645,@115850 Kindly explain this BS. @23954 #Seiko #Seiko5 https://t.co/J3EtWholwh,"@242144 I understand your concern regarding the pricing. However, pricing and offers are the decision of the sellers. The constantly changing marketplace and our efforts to offer you the lowest price may result in fluctuations in our prices over time. ^AH",en,4,cluster_fill,service_feedback,escalate,
180957,"@AmazonHelp I have share details already. What should I do ? Can I cancel the order ? If I cancel , may be you will refund my money after 1 month","@158507 We've sent a correspondence to your registered account, request you to check. We'd appreciate your understanding.  ^MA",en,19,cluster_fill,order_status,auto,
1134050,"An ode to @115821:

Amazon is great
It has all the things I need
Take all my money 💸

#EU #NoBorders #FastDelivery ❤️",@387211 That's the best ode I've seen in a long time! Well done Vanessa. Well done. ^EM,en,13,cluster_floor,other,escalate,
2690730,Holy crap @115821’s telephon customer service is terrible.,"@756432 We always expect great experiences when you need to contact us, JB! Will you tell us more about how we can help? Please don't share personal or account details. ^CS",en,12,cluster_floor,service_feedback,escalate,
2868432,@AmazonHelp Lasership. They are extremely lazy. I've witnessed them just throwing packaging into the open mail area.,@796602 Thank you for letting us know. We'd love to have your order-specific feedback. You can share here: https://t.co/hApLpMlfHN ^LR,en,12,cluster_floor,service_feedback,escalate,
2260643,@AmazonHelp I️ ordered a email gift card for a party that I️ am now late to because of the delay of at least 30 minutes and the chat customer service associate was extremely rude !,@658243 That's never the kind of experience we want you to have. We'd like to help if we can! What kind of insight or options were you given when you spoke with us via chat? ^AJ,en,8,cluster_fill,delivery_late,escalate,
392214,Extremely frustrated with @118706 and @115821. The former is trying AGAIN to deliver a package to the wrong address.,@208873 I'm terribly sorry for the delivery troubles! Please reach out to us here: https://t.co/hApLpMlfHN for help with this! ^TK,en,8,cluster_floor,delivery_wrong_location,escalate,
2821581,Amazon prime music アプリを試してる。楽曲は端末(iPhone)にダウンロードして再生(オフライン再生モード)にしてる。音質に関しては少し残念ながら、プライム対応してる曲ならフリーで聴けるに等しいので強い。,@786358 ご活用いただけているようで嬉しいです。プライムミュージックをどうぞお楽しみくださいませ😄 EK,ja,14,cluster_floor,other,escalate,
197845,@115850 my phone's finger print scanner is not working. Also the technician was supposed to arrive in the afternoon but still not here!,@162523 Sorry for the trouble Nitish. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,en,1,cluster_floor,device_or_content_issue,escalate,
619923,@AmazonHelp J’ai une question à vous posez du coup. Dans paramètre 1 click quand on choisi 1 jour ouvré il y a des frais de livraison car c’est pas noté (je n’est pas de compte Prime),"@267146 Oui, des frais de livraison vont être rajoutés sur le total de votre commande.
Pour plus d'informations concernant les frais et les délais de livraison, veuillez accéder à la page suivante :https://t.co/85dUCtN9PM ^FT",fr,0,cluster_floor,pricing_or_promotion,escalate,
694345,"@115821 thanks for ruining thanksgiving. I had one thing that I needed yesterday, hence ordering it prime and now won’t have until tomorrow #fail","@285577 Hello, I am sorry to hear that. Without giving any personal information, can you tell us a bit more about the issue?^HS",en,21,cluster_floor,delivery_late,escalate,
549383,@AmazonHelp 1 de diciembre,"@247929 Entiendo, ¿podrías confirmarnos en cual mercado fue realizada tu compra, ya sea Amazon.es, https://t.co/nUUp5MLhYl o https://t.co/Xxn35fEBwC? ^RC",es,9,cluster_floor,other,escalate,
277836,"Ogni volta che arriva il corriere amazon vedo mia mamma entrare in uno stato catartico di confusione fobia e disappunto ""ma l'hai pagato?""","@182357 😂😂😂 Ahhh, le mamme! 😍🙈 https://t.co/5pSIESLuPu",it,16,language_floor,other,escalate,
420304,@115850 #fraud company#worst customer service # amazon https://t.co/V6CzaPwl6Y,@215184 Sorry for any inconvenience. Kindly drop in the details here : https://t.co/UOLpjVCTUG. We'll look into it. ^CA,en,6,fraud_seed,service_feedback,escalate,
723655,@AmazonHelp わざわざありがとうございます。不安だったので安心しました😌,@293293 とんでもないことでございます。その他ご不明点がございましたら、お気軽にお知らせください。TN,ja,11,cluster_floor,no_action_needed,auto,
1223652,@AmazonHelp Where do you want me to send the info?,"@177529 Without providing any account details, please reply to this tweet with the tracking information. If you would like us to review the orders with you in real-time, please reach us via phone or chat here: https://t.co/EKXRLsnxJu ^JS",en,8,cluster_floor,contact_request,auto,
2212145,@AmazonHelp Sorry say good by amazon saller account close..... Good by... Thanks amazon.,"@523966 I get you are upset. Being on Twitter, we wouldn't be able to access your account. Hence, we wouldn't be able to provide any further insight on this issue. Appreciate your understanding. ^BV",en,13,cluster_fill,service_feedback,auto,positive or negative
18702,@AmazonHelp It says wrong product has sent .. refund cannot be given ... u kindly ask ur courier guy n confirm me what was given to him ..,@120173 Kindly reply to the email that we've sent. We'll investigate this further. ^SG,en,2,cluster_floor,item_wrong_or_missing,escalate,
1273453,@115850 Ordered a Moto G5 S+ ten days ago but it was never delivered cause it was broken while shipping as per what customer care told me.,"@415447 We cross-checked, it worked. Kindly use a laptop/desktop to access the link. Keep us posted. ^CB",en,18,cluster_floor,item_damaged,escalate,
910341,Special shout out to CS Rep Nupur at @115821  for being a rock star and helping me sort through crazy complications of a cross country move.,"@336232 BOOM! That's some great feedback, thanks! ^AS",en,4,cluster_floor,other,escalate,the query seems unrelated
2513669,"Is the offer refund @117795 for purchase of new fire stick, still on?","@426859 Hi, the offer is not available on the product. ^HK",en,2,language_floor,refund_status,escalate,
339930,"@115821 Hey, just a thought. Packing a 28lb bag of cat litter &amp; a 15lb bag of cat food in the same box. Not a good idea. Poor ups man’s back",@197178 We're happy to document order-specific packaging feedback with you here:  https://t.co/TH7UAFZey5. ^EZ,en,15,cluster_floor,service_feedback,escalate,
1243763,Me when I order something @115821 prime and it takes FOUR DAYS TO GET TO MEEEEEEE https://t.co/h6Mg9O96ep,@411796 Oh no! Have we missed our delivery date promised here: https://t.co/Y5jpI9gRhE. Let us know! We'd love to help! ^SK,en,21,language_floor,delivery_late,escalate,
962651,@AmazonHelp check private message,@348433 Sorry for the delay! What's the delivery date and most recent tracking update on the order: https://t.co/Y5jpI9gRhE? ^EP,unknown,7,language_floor,other,escalate,
1427899,@AmazonHelp That it’s been out for delivery since this morning and “it’s on it’s way”,@451682 Parcels can be delivered as late as 21:00. Keep us posted on your delivery ^JF,en,9,cluster_fill,delivery_late,escalate,
418192,"@AmazonHelp あ、すみません自己解決しました。どうやら手数料数量がポイント分の金額を越えてたためっぽいです。
手数料等の金額詳細が最終ページで表れるため、カートに入れてる段階ではポイント分抑えれてる･･･と勘違いしておりました。","@214775 行き違いになり、失礼いたしました。問題解決についてお知らせいただき、ありがとうございます。
今後ともご利用の際に何かお困りのことやご不明点があれば、いつでもご遠慮なくお問い合わせください。 RI",ja,2,language_floor,pricing_or_promotion,escalate,
224398,@AmazonHelp Mera contact nahi hua so plz forward you this issue to your team,@169619 We wouldn't have access to your account details via Twitter. Please connect with our support team using the link (1/2) ^KA,en,4,cluster_floor,other,escalate,
1201250,"So... I wanted to cancel Twitch Prime, but I have to go to @115821 prime and it tells me I am not a Prime member anyway? Huh?",@402245 That's odd... is there another account you signed up for Prime? You can disconnect the account from Twitch settings. ^MJ,en,21,cluster_floor,prime_membership,escalate,
1816328,@117086 Começou a vender eletrônicos né? 😏  📱🎮,"@545622 Olá, Enrique. Vendemos, sim! :D Pode conferir aqui: https://t.co/0TZEIl6z6B ^CR",pt,11,language_floor,no_action_needed,escalate,
1028972,"@AmazonHelp Never mind, am not returning, I am keeping it... thank you for nothing","@363467 Apologies for the trouble, we'd like to help. Please provide your details and we'll contact you soon. ^PS",en,5,cluster_floor,no_action_needed,auto,is it a refund issue or delivery misplace issue
2555117,@115821 @AmazonHelp I’m out here risking my new phone because my cases have not arrived on time!! 🤯😭☹️ no bueno,"@276232 Sorry to hear about the delay, whats the current tracking information:  https://t.co/Y5jpI9gRhE ? ^MI",en,11,cluster_fill,delivery_late,escalate,
857840,"@AmazonHelp D'accord, je vais faire ça. Merci de votre réponse.",@323711 À votre service! ^MD,fr,5,language_floor,no_action_needed,auto,
2671809,Thankful for @115821 - unwell and stuck at home but have managed to complete all my Christmas shopping 😝🎄🎅🏽  #happy #ThankyouAmazonPrime,@752321 Wow!! Well-preparedd Aylee- Glad we could be of some help! Feel better! ⛄️ ^NV,en,11,cluster_floor,no_action_needed,auto,
2240574,@AmazonHelp Podemos contactar por MD?,"@653266 Hola Gloria, Claro, puedes enviarnos tu consulta por medio de MD. ¡Estamos para ayudarte! ^FQ https://t.co/1XyLaGkcaN",es,1,language_floor,contact_request,auto,
495794,@AmazonHelp All things shared with ur team. It's been two months kept me waiting and now saying it's not their fault. Blaming me. Simply fraud nothing else. After delivery also I suspected &amp;raised this issue but u people said as it's working fine don't worry.,@127186 I get your concern about claiming the warranty. Please reply to the correspondence we've sent to your registered email. We'll check your concern and assist you. ^SV,en,2,fraud_seed,service_feedback,escalate,
1383044,"Hey @115821 do you guys sell personalities? 
#AskingForAFriend","@441868 Hi, I have checked and cant seem to locate any 😂 🤣 Let us know if you find any ..^CR",en,0,cluster_fill,service_feedback,escalate,
1861662,amazonのマーケットプレイスで買った本、商品情報と違うバージョンだった。欲しかったのは叢書版で、それを確認して注文したのに単行本版が届いた。引用頁などに当たりたい場合、これではまったく使えないわけで非常に困る。困っている。,"@556402 お届けした商品に問題があり、ご迷惑をおかけしております。
出品者が販売発送している商品につきましては、直接出品者に状況をご申告のうえご確認いただければと存じます。連絡方法などは、下記ヘルプページをご参照ください。https://t.co/ZXCXcbN3Tv TY",ja,3,cluster_floor,item_wrong_or_missing,escalate,
324412,hi @115850 i want to return a phone i bought from you guys but the app just says that Tech will help you.I wish to buy a diff phone instd.,@193279 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,en,1,cluster_floor,service_feedback,escalate,
1260435,"@AmazonHelp 確認できました
迅速な対応ありがとうございます",@415308 お役に立てて光栄です。Twitterでもサポートさせていただいておりますので、また何かございましたら、いつでもお知らせくださいませ。ご利用いただきありがとうございました！,ja,5,language_floor,no_action_needed,auto,
2910414,@AmazonHelp O oceano no fim do caminho do Neil Gaiman 😋,@446983 Esse daí é um livro legal demais!❤️😀 Tomara que curta muito a leitura dele!😊 ^HC,pt,11,language_floor,other,escalate,
257158,"@AmazonHelp It says ""Sold by Amazon SaRL"" - so I'm assuming that's you.",@177161 Oh! I see! Would you be able to contact us by phone so we can investigate this? You can reach us here:https://t.co/JzP7hlA23B ^FR,en,13,cluster_floor,service_feedback,escalate,
1355355,"Gibt's die #Amazon Channels nicht in der App für PS3/PS4? So zwecks #Eurosport-Player...
Hat da jemand Erfahrung damit? #m05sge",@436047 Über beide Konsolen ist das leider nicht möglich. Alle kompatiblen Geräte findest du hier: https://t.co/D2pbk3iV5R ^BL,de,14,language_floor,device_or_content_issue,escalate,
1426724,"#amazonsucks @115851 Getting sick of not getting my @115821 prime packages on time. First said it arrived, then late, then lost and now? https://t.co/XaQuxQzs8q",@342791 I'm sorry it wasn't delivered! Please contact us via phone/chat here: https://t.co/hApLpMlfHN so we may look into this. ^KL,en,20,cluster_floor,delivery_late,escalate,
2478911,@120474 @131175 @564041 @150412 Have little mix tickets been sent out yet ?,@708452 Hey there! For information about your tickets check here:https://t.co/DLuM7eyth0 ^AP,en,9,cluster_floor,other,auto,
2643350,So I guess the 2 day shipping of prime members of @115821 is out the door. They just say will you wait? https://t.co/whI6rFZ3dt,@344940 I'm sorry for the delay! Please let us know if your order isn't received tomorrow; we'd like to know this is resolved for you. ^KL,en,21,cluster_floor,delivery_late,escalate,
1744141,"@2600 I ordered something that should have arrived on 3rd oct, is there anyone English speaking on your team that can help me please?","@526006 Hello, I'm sorry for the delay. Your order was shipped by Amazon or a third party seller ? ^MH",en,19,cluster_floor,delivery_late,escalate,
2301902,Hmmmmm...@115821 says they tried to deliver my Christmas tree skirt this morning. I didn’t hear the door buzzer...,"@196639 Sorry we missed you, Eric! Who was the carrier that attempted the delivery? We can check here: https://t.co/Y5jpI9gRhE ^JZ",en,17,cluster_floor,delivery_late,escalate,
179281,"@AmazonHelp Can you please confirm if I still have an Amazon account, or if this a phishing email, or something totally unrelated as it refers to payments?","@158252 Please don't click any links in that email, I'd advise you to wait until you get an email from the Social Media team. ^JJ",en,6,cluster_floor,fraud_or_unauthorized,escalate,
1089804,@115850 How  you guys have guts to show this when I didn't got the product at all. Worst service even Street vendors are better than you https://t.co/SsJVxq4Keu,"@306783 We've responded to you here: https://t.co/uO1O6gKJCU, request you to check. 1/2 ^MA",en,0,cluster_floor,delivery_not_received,escalate,
946583,"@AmazonHelp ok, pero cuando es entregado al vendedor cuanto tardan en darte el dinero",@344466 El tiempo dependerá del método de reembolso seleccionado. Puedes ver más detalles aquí: https://t.co/XzPTsjt8F8. ^LG,es,0,cluster_floor,refund_status,escalate,
1537580,"@115821
People using
#AMAZON
NAME
SEND FAKE EMAILS TO GET INFO TO TAKE MONEY
https://t.co/rFSkG5S0ov GOT ME FOR
$40 THEM TRIED 12 MORE TIMES https://t.co/S0uuL1Dz3B",@229030 So sorry about that Charles! You can report any suspicious e-mails here: https://t.co/IsL20Gqmmg ^LS,unknown,6,cluster_floor,other,auto,
313636,@AmazonHelp I HAVE ALREADY SPOKEN TO YOUR TEAM. THEY DON'T GIVE A CRAP!,@190894 I'd like to investigate the issue and assist you with it. Please provide your details here: https://t.co/OoOntLz8MF I'll 1/2 ^SH,en,16,cluster_floor,service_feedback,escalate,
926365,@AmazonHelp with Amazon prime do I still get 20% off new games,@339804 Thanks for reaching out! The discount is still available for Prime members. More info here: https://t.co/Mk7PWqA4ZR ^GG,en,21,cluster_floor,pricing_or_promotion,auto,
1716715,@AmazonHelp Two items are supposed to be delivered tomorrow but only one is on its way. Why hasn't the other one shipped?,@519855 It's not unusual for items to ship the same day they're delivered. If the order doesn't arrive please let us know.  ^LR,en,10,cluster_floor,order_status,escalate,
2850597,"@115830 Arrived today, Damaged Box Cracked, Still sealed, CD loose inside too! Please Advise? #Amazon #Help https://t.co/tNrQMC5yNz","@792642 I'm truly sorry to see that your game arrived in this condition, it's not at all what we'd expect! Please, when you have a moment, explore return options here: https://t.co/d8T4j4KF0t ^JE",en,20,cluster_fill,item_damaged,escalate,
739766,@AmazonHelp How much time you will take,"@214484 Once we receive your details/revert, we'll work on this and reach out to you soon with an update. ^VN",en,9,cluster_floor,other,escalate,
2536390,@AmazonHelp Still awaiting to find out as the Amazon staff could  not get in touch with Hermes,@721548 Thanks for your patience. Keep us posted! ^CN,en,6,cluster_floor,no_response_received,escalate,
1171387,"@AmazonHelp Aduana me cobra un impuesto extra superior al monto de mi envío, del cual no fui informado. Contacté a vendedor pero no me contesta.",@178439 Buenas tardes Ricardo. Por favor entre en contacto con nuestro Servicio al Cliente en este enlace: https://t.co/beR78zMMYB  ^JJ,es,2,language_floor,pricing_or_promotion,escalate,
1816343,@AmazonHelp Taking you guys to the court now. A notice would be sent shortly.,@545625 Have you filled in the details as requested earlier? ^RW,en,9,cluster_floor,service_feedback,escalate,
2036752,A veces la felicidad viene en paquete de @115821 ❤️📚🤓 https://t.co/cbqcLhF6in,@602179 ¡Nos encanta poder llevarte felicidad! 😊 Esperamos que lo disfrutes. 💞 ^JQ https://t.co/64uEGOGFbn,es,11,cluster_floor,other,escalate,
109871,@AmazonHelp Einigen wir uns auf unentschieden! :D &lt;3,@131789 Deal! 🙃 ^MI,de,16,language_floor,other,escalate,
505835,"@AmazonHelp alegam sempre que vão entrar em contato com a transportadora, mas que foi feito a tentativa de entrega (sendo que não foi)",@236031 Os colegas do SAC indicaram para você algum novo prazo de entrega? Ou alguma opção no seu caso? ^LG,pt,17,language_floor,other,escalate,
490438,@AmazonHelp Hello SD! I have taken a screenshot of the order in the Order's Page with the seller's names. Let me know if you need more info. https://t.co/ZZRAAgSOwq,"@221325 We're unable to access accounts here on Twitter, but we're happy to take another look into this. You can contact us using the link ^HS provided. ^LI",en,19,cluster_floor,other,escalate,
2712528,@AmazonHelp It says AMZL US. It bothers me that I have now received multiple emails that a deliver attempt was made which is incorrect.,"@761543 Hi Floyd, I'm sorry for the delay. We need to get someone to assist you with this issue directly. Please provide the needed information here: 
https://t.co/hePSo3VG6g
So we can get this issue resolved for you. ^BT",en,8,cluster_floor,delivery_not_received,escalate,
2107243,@AmazonHelp Je n'ai pas vu le transporteur... J'ai trouvé le colis ce matin dans mon jardin... Cmd 404-2631379-1073965,@621837 Est-ce que l'article commandé était en bon état ?,fr,17,language_floor,other,escalate,
1378717,@AmazonHelp Please share some coordinates so we can connect. Good to see your concern of customer. Will wait to see solution..,"@440964 You may connect with us via phone, chat or email here: https://t.co/HQhpS2qeEd. We'll look into it. ^PS",en,1,cluster_floor,contact_request,auto,
2299080,"@AmazonHelp Amazon is like "":kutte ki dum"" chahe jitni bhi kosis kar lo sidhi nahi hogi",@120538 Looks like you are facing an issue with your order.  Could you please elaborate the issue so that we can check and do the needful? ^RI,unknown,13,language_floor,service_feedback,escalate,
1331874,@AmazonHelp I still do not have my players for madden and I linked the accounts https://t.co/7kqsCmgMCV,"@430718 Hey, Jaylan. I think this page should help you: https://t.co/NjjuIvUHss, especially number 3. Please let us know! ^LB",en,7,cluster_floor,device_or_content_issue,escalate,
69692,"@AmazonHelp @115850 Does this help if you have lost your money? ""I've checked the details and I see that our team is right on it."" What does it mean? By When? Today is DAY 19th. #AmazonFraud #AmazonPay #AmazonPayQuiz #AmazonFails @115851",@130696 We are working on it. We will reach out to soon with an update. Appreciate your patience. ^RW,en,20,fraud_seed,refund_status,escalate,
1955359,"@AmazonHelp It's covered in a mystery oily fluid, which could be hazardous for all I know. Everyone is telling me how to return, I want a new copy!",@138833 Is the item sold by Amazon or a third party? ^TR,en,15,cluster_floor,item_damaged,escalate,
1043738,"@AmazonHelp worst ever experience from Amazon India.After placing an order for the same product 3 times, I am yet to receive it 1/n",@366800 I’m sorry about the issue you’re facing with delivery. Let us look into it. (1/2)^HR,en,20,cluster_floor,order_status,escalate,
2938337,Estar esperando un paquete de @116928 y de repente recibir un sms diciendo que han estado en casa. Cuatro personas y ninguno escuchamos el timbre? Decepcionada,"@521341 Hola, sentimos cualquier inconveniente que esto te pudiera ocasionar. ¿Has podido contactar directamente con el transportista encargado de hacer la entrega de tu pedido? ^KA",es,8,cluster_floor,other,escalate,
1300641,@115830 why? you seem to be incapable of delivering anything,"@737986 I'm sorry, have we missed a delivery for any of your recent orders: https://t.co/aaDyEz1VgE? We'd love to help. ^EB",en,17,language_floor,delivery_late,escalate,
504896,@AmazonHelp Obrigado pela atenção,"@235757 Imagina, caso você precisar de mais assistência não hesite em nos contatar. Por favor nos mantenha informados. ^NB",pt,5,language_floor,other,escalate,
757743,@AmazonHelp I m listening this statement from your customer care daily. I don't want update I want my product. Pls deliver it,@301084 We've sent an email correspondence to you. Kindly check it here: https://t.co/8DAc10S7ww and revert to it if needed. ^SF,en,12,cluster_floor,delivery_late,escalate,
180824,@AmazonHelp I did even mark so many times to @115851 Jeff can you please acknowledge.,"@158494 I understand, our team will work on it and get back to you soon. Appreciate your patience. ^PS",en,5,cluster_floor,no_response_received,escalate,
2758189,@AmazonHelp Downloaded a book in my tablet through the Kindle app. The book opens for may be 5 secs and then closes by itself with a black screen. I’m not able to read any book.,@399503 I understand your concern regarding the Ebook. Please reach out to us here: https://t.co/vlvfJr4nN9 and we will fix this for you. ^AH,en,3,cluster_floor,device_or_content_issue,escalate,
1820591,@AmazonHelp ご丁寧にありがとうございました,@546562 とんでもないことです。当サイトのご利用の際に何かお困りのことやご不明点があれば、いつでもご遠慮なくお問い合わせください。 RI,ja,5,language_floor,other,escalate,
1264572,Perdição: receber newsletter da @117086 com as promoções. Já adicionei mais 3 à minha biblioteca do @117634,"@148253 Olá Tati, é muito amor pela leitura né? conta para gente, que livros você adicionou? ❤️ ^AZ",pt,8,cluster_floor,other,escalate,
2704957,@AmazonHelp I would like to talk to one of you. Please DM me so that I can share my account info and contact number.,"@759707 I have made it so that you can DM if need be, however, we do encourage you not to provide account information through social media, including DM. We'd be happy to help if you reach us through chat or phone here: https://t.co/NtrZEsoOUS ^BE https://t.co/1XyLaGkcaN",en,1,cluster_floor,contact_request,escalate,
1088763,Ya llegó mi nuevo libro!!!! Gracias @116875 @376828 @36560 ❤️👌🏽 https://t.co/vJdmukFYKL,"@376827 ¡Hola Luis, que alegría! ¿Ya lo empezaste a leer? ❤ ^DA",es,3,cluster_floor,other,escalate,
